Player,Nation,POS,Age,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Team
Alvas Powell,JAM,DF,29,1.7,0,1,1,100.0,0.57,0.57,0.0,0.0,14.5,0.0,0,0,0.0,0.0,0.03,0.0,0.0,FC Cincinnati
Bret Halsey,USA,DF,24,3.2,0,3,2,66.7,0.93,0.62,0.0,0.0,15.5,0.0,0,0,0.2,0.2,0.07,-0.2,-0.2,FC Cincinnati
Malik Pinto,USA,MF,21,1.7,0,1,0,0.0,0.6,0.0,0.0,,18.1,0.0,0,0,0.0,0.0,0.05,0.0,0.0,FC Cincinnati
Evan Louro,USA,GK,28,1.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,FC Cincinnati
Yamil Asad,ARG,DF,29,1.0,0,3,2,66.7,2.87,1.91,0.0,0.0,30.8,0.0,0,0,0.1,0.1,0.04,-0.1,-0.1,FC Cincinnati
Stiven Jimenez,USA,MF,16,0.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,FC Cincinnati
Matt Freese,USA,GK,25,17.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,New York City FC
Santiago Rodríguez,URU,MF,24,16.4,7,48,17,35.4,2.93,1.04,0.1,0.29,21.9,8.0,2,2,6.0,4.4,0.09,1.0,0.6,New York City FC
Birk Risa,NOR,DF,26,15.6,0,3,1,33.3,0.19,0.06,0.0,0.0,22.9,1.0,0,0,0.1,0.1,0.03,-0.1,-0.1,New York City FC
Hannes Wolf,AUT,FW,25,14.2,3,25,10,40.0,1.76,0.7,0.12,0.3,14.8,1.0,0,0,2.9,2.9,0.12,0.1,0.1,New York City FC
